Code;Bahnhof_Haltestelle;Bezugsjahr;DTV;DMW;Eigner;Bemerkung;geopos;lod
IM;Immensee;2016-01-01;410;530.0;SBB;;47.0916137781, 8.46266014649;http://lod.opentransportdata.swiss/didok/8505003
LST;Liestal;2016-01-01;17200;20100.0;SBB;Ohne WB.;47.4844551308, 7.73135468775;http://lod.opentransportdata.swiss/didok/8500023
LINB;Linthal Braunwaldbahn;2016-01-01;310;270.0;SBB;;46.928393834, 9.00248305864;http://lod.opentransportdata.swiss/didok/8503240
MERL;Merlischachen;2016-01-01;180;200.0;SBB;;47.0676559849, 8.40903921336;http://lod.opentransportdata.swiss/didok/8505011
LUET;Lütisburg;2016-01-01;220;250.0;SBB;;47.3838273619, 9.07067425759;http://lod.opentransportdata.swiss/didok/8506204
LY;Lyss;2016-01-01;10500;12200.0;SBB;;47.0763151407, 7.30629081519;http://lod.opentransportdata.swiss/didok/8504414
SLG;Sulgen;2016-01-01;1100;1400.0;SBB;Aus erhebungstechnischen Gründen ist die Aussagekraft der Angabe 2016 eingeschränkt und somit ein Vergleich mit der Angabe 2014 nicht sinnvoll.;47.5387993681, 9.18367857671;http://lod.opentransportdata.swiss/didok/8506217
STET;Stettbach;2016-01-01;21000;25100.0;SBB;;47.3972121248, 8.59613281648;http://lod.opentransportdata.swiss/didok/8503147
UTW;Uttwil;2016-01-01;390;420.0;SBB;;47.5860214293, 9.33968840224;http://lod.opentransportdata.swiss/didok/8506122
STM;Stammheim;2016-01-01;530;600.0;SBB;Aus erhebungstechnischen Gründen ist die Aussagekraft der Angabe 2016 eingeschränkt und somit ein Vergleich mit der Angabe 2014 nicht sinnvoll.;47.6348793716, 8.78872663664;http://lod.opentransportdata.swiss/didok/8506024
STKT;St. Katharinental;2016-01-01;;;SBB;Aus erhebungstechnischen Gründen steht die Angabe 2016 nicht zur Verfügung.;47.6875587749, 8.73201759728;http://lod.opentransportdata.swiss/didok/8506148
SIT;Sitterdorf;2016-01-01;;;SBB;Aus erhebungstechnischen Gründen steht die Angabe 2016 nicht zur Verfügung.;47.5052217763, 9.24898518569;http://lod.opentransportdata.swiss/didok/8506214
SW;Solothurn West;2016-01-01;1400;1700.0;SBB;;47.2067084108, 7.53194511273;http://lod.opentransportdata.swiss/didok/8500206
SCHK;Schottikon;2016-01-01;360;400.0;SBB;;47.500115854, 8.8117058285;http://lod.opentransportdata.swiss/didok/8506035
STN;Steinen;2016-01-01;560;650.0;SBB;;47.0476633004, 8.60743525261;http://lod.opentransportdata.swiss/didok/8505005
SK;Sisikon;2016-01-01;140;150.0;SBB;;46.9492536033, 8.62073068694;http://lod.opentransportdata.swiss/didok/8505111
